Aguascalientes,"1,184,996"
Baja California,"3,155,070"
Baja California Sur,"637,026"
Campeche,"822,441"
Coahuila de Zaragoza,"2,748,391"
Colima,"650,555"
Chiapas,"4,796,580"
Chihuahua,"3,406,465"
Distrito Federal,"8,851,080"
Durango,"1,632,934"
Guanajuato,"5,486,372"
Guerrero,"3,388,768"
Hidalgo,"2,665,018"
Jalisco,"7,350,682"
México,"15,175,862"
Michoacán de Ocampo,"4,351,037"
Morelos,"1,777,227"
Nayarit,"1,084,979"
Nuevo León,"4,653,458"
Oaxaca,"3,801,962"
Puebla,"5,779,829"
Querétaro,"1,827,937"
Quintana Roo,"1,325,578"
San Luis Potosí,"2,585,518"
Sinaloa,"2,767,761"
Sonora,"2,662,480"
Tabasco,"2,238,603"
Tamaulipas,"3,268,554"
Tlaxcala,"1,169,936"
Veracruz de Ignacio de la Llave,"7,643,194"
Yucatán,"1,955,577"
Zacatecas,"1,490,668"